number_of_edges,state_space_size,exact_efrac,overapproximated_efrac
3,4,0.8333333333333334,0.8333333333333334
4,5,0.875,0.875
5,6,0.6,0.6
8,7,0.4375,0.5
10,10,0.5625,0.59375
13,11,0.5714285714285714,0.6071428571428571
15,14,0.46153846153846156,0.5
17,18,0.4117647058823529,0.5392156862745098
25,17,0.3541666666666667,0.5
26,21,0.36904761904761907,0.4523809523809524
39,27,0.3897058823529412,0.5220588235294118
42,32,0.2375,0.39375
52,37,0.28125,0.425
57,29,0.4835164835164835,0.6483516483516484
63,40,0.328125,0.5234375
78,46,0.3223684210526316,0.3881578947368421
84,48,0.2604166666666667,0.4479166666666667
123,77,0.4490740740740741,0.5833333333333334
127,66,0.3333333333333333,0.4343434343434343
130,62,0.23684210526315788,0.3618421052631579
138,82,0.2846153846153846,0.37692307692307697
167,87,0.4106280193236715,0.47342995169082125
176,88,0.22826086956521738,0.3641304347826087
188,94,0.4259259259259259,0.47685185185185186
189,92,0.275,0.36875
206,119,0.29120879120879123,0.35714285714285715
215,105,0.2826086956521739,0.3695652173913043
217,108,0.41304347826086957,0.5
231,118,0.29292929292929293,0.3232323232323232
278,132,0.2751322751322751,0.40211640211640215
304,150,0.3322884012539185,0.39811912225705326
321,147,0.24102564102564103,0.38461538461538464
329,163,0.3413793103448276,0.4241379310344828
339,158,0.3333333333333333,0.34259259259259256
377,183,0.24915824915824916,0.32996632996632996
415,179,0.3961538461538462,0.4461538461538461
421,227,0.3404255319148936,0.38563829787234044
437,230,0.2911764705882353,0.36764705882352944
440,197,0.25252525252525254,0.30303030303030304
446,198,0.3392857142857143,0.44642857142857145
456,191,0.20979020979020976,0.2902097902097902
458,203,0.2577777777777778,0.3155555555555556
497,223,0.317016317016317,0.3776223776223776
501,196,0.2626262626262626,0.5454545454545454
516,222,0.3076923076923077,0.3076923076923077
518,216,0.17222222222222222,0.22777777777777777
520,202,0.18571428571428572,0.30952380952380953
551,238,0.312,0.44799999999999995
566,248,0.27586206896551724,0.3045977011494253
579,241,0.20833333333333334,0.2951388888888889
584,245,0.2675324675324675,0.35844155844155845
614,271,0.196,0.34
622,340,0.32575757575757575,0.35909090909090907
624,228,0.27586206896551724,0.41954022988505746
632,273,0.21666666666666667,0.25
638,272,0.26666666666666666,0.30333333333333334
648,358,0.2871794871794872,0.29572649572649573
652,267,0.19791666666666666,0.3229166666666667
656,244,0.16363636363636364,0.3181818181818182
657,249,0.26436781609195403,0.2873563218390805
711,274,0.2708333333333333,0.37916666666666665
